id,sucursal_id,saldo_total_sucursal,caja_teorica_sucursal,total_atm,total_ats,total_tesoro,total_cajas_ventanilla,total_buzon_depositos,total_recaudacion,total_caja_chica,total_otros,direccion_sucursal,latitud,longitud,observacion,medido_en,sucursal_numero,sucursal_nombre,telefonos,calle,altura,barrio,comuna,codigo_postal,codigo_postal_argentino
1,SUC-384,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ALBERDI JUAN B 6401,-34.655595183244,-58.507384893964,,2025-09-21 21:21:08.237651+00,328,Mataderos,4686-1395/4687-2064/4687-2164/4687-2364,ALBERDI JUAN B,6401,Mataderos,9,1440,C1440ABC
2,SUC-423,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ALEM LEANDRO N AV 996,-34.595941519466,-58.372277679593,,2025-09-21 21:21:08.237651+00,316,Retiro,4311-2202/4311-5927/4311-5928,ALEM LEANDRO N AV,996,Retiro,1,1001,C1001AAR
3,SUC-434,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ALVAREZ JONTE 5255,-34.623822696467,-58.51119547895,,2025-09-21 21:21:08.237651+00,107,Villa Luro,4566-7271/4566-8212/4568-8334/4568-8517/4639-2057,ALVAREZ JONTE,5255,Monte Castro,10,1407,C1407GPG
4,SUC-419,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ALVEAR 1528,-34.59027705552,-58.385274096172,,2025-09-21 21:21:08.237651+00,313,Recoleta,4815-4566/4815-5517/4815-5417/4815-1053,ALVEAR,1528,Retiro,1,1014,C1014AAP
6,SUC-379,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,AVELLANEDA 3508,-34.628392913917,-58.47890000221,,2025-09-21 21:21:08.237651+00,143,Floresta,4613-0237/4613-0915/4613-6274,AVELLANEDA,3508,Floresta,10,1407,C1407EJP
7,SUC-431,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,BEIRO FRANCISCO 4359,-34.606142591426,-58.512390214648,,2025-09-21 21:21:08.237651+00,114,Villa Devoto,4504-8162/4504-8163/4504-8164/4504-8165,BEIRO FRANCISCO,4359,Villa Devoto,11,1419,C1419HZF
8,SUC-426,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,BELGRANO 698,-34.612820704805,-58.375934368632,,2025-09-21 21:21:08.237651+00,182,San Telmo,4345-2577/4345-2748/4345-2816/4345-2834,BELGRANO,698,Monserrat,1,1092,C1092AAT
9,SUC-380,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,BROWN ALTE AV 826,-34.632273429003,-58.360558107673,,2025-09-21 21:21:08.237651+00,3,La Boca,4361-3012/4361-4230/4361-5592/4362-9806/4362-8956,BROWN ALTE AV,826,Boca,4,1159,C1159ABN
10,SUC-402,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,CABILDO 3622,-34.54978796129,-58.467691996397,,2025-09-21 21:21:08.237651+00,356,NuÃ±ez,4702-6115/4702-6975,CABILDO,3622,Nuï¿½ez,13,1429,C1429AAU
11,SUC-365,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,CABILDO 1732,-34.56527726854,-58.453916491288,,2025-09-21 21:21:08.237651+00,101,Belgrano,4784-9109/4783-4464,CABILDO,1732,Belgrano,13,1426,C1426ABR
