sucursal_id,sucursal_nombre,latitud,longitud,saldo_total_sucursal,caja_teorica_sucursal,ratio,status
SUC-410,Parque Chacabuco,-34.634526983677,-58.435622187268,54000.0,100000.0,-0.46,below
SUC-363,Barracas,-34.640846283874,-58.374300853379,39000.0,100000.0,-0.61,below
SUC-432,Villa Gral Mitre,-34.612215670425,-58.480906769983,48000.0,100000.0,-0.52,below
SUC-398,Monserrat,-34.614468020065,-58.391591144883,29000.0,100000.0,-0.71,below
SUC-405,Palermo,-34.586001298593,-58.407833331143,53000.0,100000.0,-0.47,below
SUC-413,Puerto Madero,-34.608032291489,-58.366540492496,33000.0,100000.0,-0.67,below
SUC-433,Villa Lugano,-34.677934037742,-58.474852612472,38000.0,100000.0,-0.62,below
SUC-377,Flores,-34.614950888106,-58.462031934203,38000.0,100000.0,-0.62,below
SUC-406,Palermo,-34.593405648808,-58.40486630611,24000.0,100000.0,-0.76,below
SUC-407,Palermo,-34.585342532139,-58.416438036116,21000.0,100000.0,-0.79,below
SUC-408,Palermo,-34.587120640939,-58.39774201089,48000.0,100000.0,-0.52,below
SUC-417,Recoleta,-34.581624148128,-58.403433778404,54000.0,100000.0,-0.46,below
SUC-435,Villa Pueyrredon,-34.585815219305,-58.501259182778,36000.0,100000.0,-0.64,below
SUC-423,Retiro,-34.595941519466,-58.372277679593,26000.0,100000.0,-0.74,below
SUC-382,Liniers,-34.638978894884,-58.522244136073,32000.0,100000.0,-0.68,below
SUC-430,Villa Del Parque,-34.598448035694,-58.497412614558,46000.0,100000.0,-0.54,below
SUC-420,Recoleta,-34.598324726336,-58.403581513572,35000.0,100000.0,-0.65,below
SUC-437,Villa Urquiza,-34.577841739044,-58.481082208308,56000.0,100000.0,-0.44,below
SUC-395,Microcentro,-34.605742273605,-58.374861899371,50000.0,100000.0,-0.5,below
SUC-402,Nu̱ez,-34.54978796129,-58.467691996397,30000.0,100000.0,-0.7,below
