sucursal_id,sucursal_nombre,latitud,longitud,saldo_total_sucursal,caja_teorica_sucursal,ratio,status
SUC-410,Parque Chacabuco,-34.634526983677,-58.435622187268,54000,100000,-0.46,below
SUC-380,La Boca,-34.632273429003,-58.360558107673,80000,100000,-0.2,neutral
SUC-369,Boedo,-34.625339033036,-58.415990966521,80000,100000,-0.2,neutral
SUC-385,Microcentro,-34.603835046033,-58.382419895434,179000,100000,0.79,above
SUC-375,Constitucion,-34.627231912416,-58.378478838944,166000,100000,0.66,above
SUC-357,Abasto,-34.604048903512,-58.412937567544,102000,100000,0.02,neutral
SUC-401,Nueva Pompeya,-34.653771228373,-58.416192298448,166000,100000,0.66,above
SUC-411,Parque Patricios,-34.636025458182,-58.405985535203,141000,100000,0.41,above
SUC-364,Belgrano,-34.555311903261,-58.449037575496,112000,100000,0.12,neutral
SUC-414,Recoleta,-34.595897077038,-58.39051695769,153000,100000,0.53,above
SUC-415,Recoleta,-34.591897411805,-58.391895845058,94000,100000,-0.06,neutral
SUC-378,Floresta,-34.627298399249,-58.491314079635,116000,100000,0.16,neutral
SUC-403,Palermo,-34.57717410538,-58.430046715902,71000,100000,-0.29,neutral
SUC-363,Barracas,-34.640846283874,-58.374300853379,39000,100000,-0.61,below
SUC-427,Villa Crespo,-34.59368751355,-58.43082826317,160000,100000,0.6,above
SUC-412,Paternal,-34.603788420921,-58.460804547976,127000,100000,0.27,neutral
SUC-386,Microcentro,-34.600477399286,-58.369434952149,73000,100000,-0.27,neutral
SUC-432,Villa Gral Mitre,-34.612215670425,-58.480906769983,48000,100000,-0.52,below
SUC-398,Monserrat,-34.614468020065,-58.391591144883,29000,100000,-0.71,below
SUC-399,Monserrat,-34.608853773017,-58.377376630753,124000,100000,0.24,neutral
SUC-416,Recoleta,-34.591429946943,-58.381480430688,82000,100000,-0.18,neutral
SUC-404,Palermo,-34.575312692802,-58.423040988408,88000,100000,-0.12,neutral
SUC-381,La Boca,-34.632824210308,-58.373748020829,163000,100000,0.63,above
SUC-365,Belgrano,-34.56527726854,-58.453916491288,168000,100000,0.68,above
SUC-429,Villa Del Parque,-34.604307971365,-58.494147502933,171000,100000,0.71,above
SUC-358,Almagro,-34.602164606538,-58.431781597104,142000,100000,0.42,above
SUC-434,Villa Luro,-34.623822696467,-58.51119547895,83000,100000,-0.17,neutral
SUC-405,Palermo,-34.586001298593,-58.407833331143,53000,100000,-0.47,below
SUC-361,Balvanera,-34.604526978674,-58.398842186953,74000,100000,-0.26,neutral
SUC-431,Villa Devoto,-34.606142591426,-58.512390214648,81000,100000,-0.19,neutral
SUC-421,Retiro,-34.595081576842,-58.379204531844,173000,100000,0.73,above
SUC-359,Almagro,-34.612297256065,-58.423100154989,81000,100000,-0.19,neutral
SUC-425,San Telmo,-34.61382116315,-58.369563933362,66000,100000,-0.34,neutral
SUC-436,Villa Urquiza,-34.570912313812,-58.490538227253,151000,100000,0.51,above
SUC-413,Puerto Madero,-34.608032291489,-58.366540492496,33000,100000,-0.67,below
SUC-370,Caballito,-34.620024314311,-58.440140943746,91000,100000,-0.09,neutral
SUC-376,Flores,-34.626963436048,-58.45764223678,166000,100000,0.66,above
SUC-428,Villa Crespo,-34.600144118238,-58.43767501664,115000,100000,0.15,neutral
SUC-433,Villa Lugano,-34.677934037742,-58.474852612472,38000,100000,-0.62,below
SUC-388,Microcentro,-34.604377632666,-58.372273285312,152000,100000,0.52,above
SUC-379,Floresta,-34.628392913917,-58.47890000221,67000,100000,-0.33,neutral
SUC-377,Flores,-34.614950888106,-58.462031934203,38000,100000,-0.62,below
SUC-389,Microcentro,-34.606155735533,-58.377883435991,168000,100000,0.68,above
SUC-406,Palermo,-34.593405648808,-58.40486630611,24000,100000,-0.76,below
SUC-390,Microcentro,-34.598647908008,-58.375758300568,65000,100000,-0.35,neutral
SUC-371,Caballito,-34.635808412332,-58.424739453693,102000,100000,0.02,neutral
SUC-407,Palermo,-34.585342532139,-58.416438036116,21000,100000,-0.79,below
SUC-408,Palermo,-34.587120640939,-58.39774201089,48000,100000,-0.52,below
SUC-372,Caballito,-34.627031126755,-58.444239253389,70000,100000,-0.3,neutral
SUC-426,San Telmo,-34.612820704805,-58.375934368632,135000,100000,0.35,neutral
SUC-373,Caballito,-34.608722724489,-58.440813387055,90000,100000,-0.1,neutral
SUC-366,Belgrano,-34.572126447635,-58.458954343674,107000,100000,0.07,neutral
SUC-383,Mataderos,-34.657922697138,-58.479052364453,109000,100000,0.09,neutral
SUC-362,Balvanera,-34.60987630808,-58.402978450648,122000,100000,0.22,neutral
SUC-422,Retiro,-34.596636050906,-58.387036330119,162000,100000,0.62,above
SUC-417,Recoleta,-34.581624148128,-58.403433778404,54000,100000,-0.46,below
SUC-418,Recoleta,-34.6007630931,-58.392556980361,66000,100000,-0.34,neutral
SUC-360,Almagro,-34.620873911098,-58.427925134366,130000,100000,0.3,neutral
SUC-367,Belgrano,-34.562062115425,-58.466385173961,150000,100000,0.5,above
SUC-424,San Cristobal,-34.623794750517,-58.401605141596,67000,100000,-0.33,neutral
SUC-435,Villa Pueyrredon,-34.585815219305,-58.501259182778,36000,100000,-0.64,below
SUC-419,Recoleta,-34.59027705552,-58.385274096172,164000,100000,0.64,above
SUC-423,Retiro,-34.595941519466,-58.372277679593,26000,100000,-0.74,below
SUC-374,Colegiales,-34.570744082222,-58.445427819192,138000,100000,0.38,neutral
SUC-382,Liniers,-34.638978894884,-58.522244136073,32000,100000,-0.68,below
SUC-400,Monserrat,-34.61184771879,-58.380311174582,65000,100000,-0.35,neutral
SUC-391,Microcentro,-34.603697175304,-58.380104852562,134000,100000,0.34,neutral
SUC-430,Villa Del Parque,-34.598448035694,-58.497412614558,46000,100000,-0.54,below
SUC-420,Recoleta,-34.598324726336,-58.403581513572,35000,100000,-0.65,below
SUC-384,Mataderos,-34.655595183244,-58.507384893964,148000,100000,0.48,above
SUC-392,Microcentro,-34.609092961873,-58.383132064589,141000,100000,0.41,above
SUC-393,Microcentro,-34.604000290414,-58.38661267782,178000,100000,0.78,above
SUC-409,Palermo,-34.595431753279,-58.397710565748,83000,100000,-0.17,neutral
