sucursal_id,sucursal_nombre,latitud,longitud,saldo_total_sucursal,caja_teorica_sucursal,ratio,status
SUC-385,Microcentro,-34.603835046033,-58.382419895434,179000,100000,0.79,above
SUC-393,Microcentro,-34.604000290414,-58.38661267782,178000,100000,0.78,above
SUC-421,Retiro,-34.595081576842,-58.379204531844,173000,100000,0.73,above
SUC-429,Villa Del Parque,-34.604307971365,-58.494147502933,171000,100000,0.71,above
SUC-394,Microcentro,-34.601452960798,-58.36730435591,169000,100000,0.69,above
SUC-365,Belgrano,-34.56527726854,-58.453916491288,168000,100000,0.68,above
SUC-389,Microcentro,-34.606155735533,-58.377883435991,168000,100000,0.68,above
SUC-375,Constitucion,-34.627231912416,-58.378478838944,166000,100000,0.66,above
SUC-401,Nueva Pompeya,-34.653771228373,-58.416192298448,166000,100000,0.66,above
SUC-376,Flores,-34.626963436048,-58.45764223678,166000,100000,0.66,above
SUC-419,Recoleta,-34.59027705552,-58.385274096172,164000,100000,0.64,above
SUC-381,La Boca,-34.632824210308,-58.373748020829,163000,100000,0.63,above
SUC-396,Microcentro,-34.606118988097,-58.392059501892,163000,100000,0.63,above
SUC-422,Retiro,-34.596636050906,-58.387036330119,162000,100000,0.62,above
SUC-427,Villa Crespo,-34.59368751355,-58.43082826317,160000,100000,0.6,above
SUC-414,Recoleta,-34.595897077038,-58.39051695769,153000,100000,0.53,above
SUC-388,Microcentro,-34.604377632666,-58.372273285312,152000,100000,0.52,above
SUC-436,Villa Urquiza,-34.570912313812,-58.490538227253,151000,100000,0.51,above
SUC-367,Belgrano,-34.562062115425,-58.466385173961,150000,100000,0.5,above
SUC-384,Mataderos,-34.655595183244,-58.507384893964,148000,100000,0.48,above
SUC-358,Almagro,-34.602164606538,-58.431781597104,142000,100000,0.42,above
SUC-411,Parque Patricios,-34.636025458182,-58.405985535203,141000,100000,0.41,above
SUC-392,Microcentro,-34.609092961873,-58.383132064589,141000,100000,0.41,above
SUC-414,Recoleta,-34.595897077038,-58.39051695769,153000.0,100000.0,0.53,above
SUC-427,Villa Crespo,-34.59368751355,-58.43082826317,160000.0,100000.0,0.6,above
SUC-381,La Boca,-34.632824210308,-58.373748020829,163000.0,100000.0,0.63,above
SUC-365,Belgrano,-34.56527726854,-58.453916491288,168000.0,100000.0,0.68,above
SUC-429,Villa Del Parque,-34.604307971365,-58.494147502933,171000.0,100000.0,0.71,above
SUC-358,Almagro,-34.602164606538,-58.431781597104,142000.0,100000.0,0.42,above
SUC-421,Retiro,-34.595081576842,-58.379204531844,173000.0,100000.0,0.73,above
SUC-436,Villa Urquiza,-34.570912313812,-58.490538227253,151000.0,100000.0,0.51,above
SUC-376,Flores,-34.626963436048,-58.45764223678,166000.0,100000.0,0.66,above
SUC-388,Microcentro,-34.604377632666,-58.372273285312,152000.0,100000.0,0.52,above
SUC-389,Microcentro,-34.606155735533,-58.377883435991,168000.0,100000.0,0.68,above
SUC-422,Retiro,-34.596636050906,-58.387036330119,162000.0,100000.0,0.62,above
SUC-367,Belgrano,-34.562062115425,-58.466385173961,150000.0,100000.0,0.5,above
SUC-419,Recoleta,-34.59027705552,-58.385274096172,164000.0,100000.0,0.64,above
SUC-384,Mataderos,-34.655595183244,-58.507384893964,148000.0,100000.0,0.48,above
SUC-392,Microcentro,-34.609092961873,-58.383132064589,141000.0,100000.0,0.41,above
SUC-393,Microcentro,-34.604000290414,-58.38661267782,178000.0,100000.0,0.78,above
SUC-394,Microcentro,-34.601452960798,-58.36730435591,169000.0,100000.0,0.69,above
SUC-396,Microcentro,-34.606118988097,-58.392059501892,163000.0,100000.0,0.63,above
